rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
GRU,adam,0.001,,relu,0.2,True,64,0.7950972318649292,0.7474878430366516,0.39656707644462585,0.6622479557991028,10,31.254931688308716
GRU,adam,0.001,,relu,0.2,True,128,0.826944887638092,0.7100486159324646,0.313414603471756,0.7810692191123962,13,38.75134754180908
GRU,adam,0.001,,relu,0.2,True,256,0.8124797344207764,0.739384114742279,0.35908496379852295,0.7229074239730835,10,34.39504647254944
GRU,adam,0.001,,relu,0.3333,True,64,0.801418125629425,0.7329011559486389,0.3647223114967346,0.6847429275512695,17,45.22141766548157
GRU,adam,0.001,,relu,0.3333,True,128,0.7723662853240967,0.7531604766845703,0.4675135910511017,0.6460831165313721,9,29.560168743133545
GRU,adam,0.001,,relu,0.3333,True,256,0.7852106690406799,0.7094002962112427,0.4363868832588196,0.7323554754257202,10,34.5526008605957
GRU,adam,0.001,,tanh,0.2,True,64,0.8062803745269775,0.7379254698753357,0.35352250933647156,0.7235065698623657,12,35.696038007736206
GRU,adam,0.001,,tanh,0.2,True,128,0.8198541402816772,0.7564019560813904,0.33141958713531494,0.6674126982688904,10,32.68519067764282
GRU,adam,0.001,,tanh,0.2,True,256,0.8239060044288635,0.7296596169471741,0.32315516471862793,0.7717997431755066,10,33.718416690826416
GRU,adam,0.001,,tanh,0.3333,True,64,0.782374382019043,0.7269043922424316,0.43409237265586853,0.7128101587295532,11,32.77907943725586
GRU,adam,0.001,,tanh,0.3333,True,128,0.823703408241272,0.7476499080657959,0.3167850971221924,0.7242469191551208,15,42.612237215042114
GRU,adam,0.001,,tanh,0.3333,True,256,0.7895461916923523,0.7529983520507812,0.43144309520721436,0.6301454305648804,9,31.558732748031616
GRU,adam,0.001,,selu,0.2,True,64,0.7894651293754578,0.7316045165061951,0.42358508706092834,0.6950598359107971,9,29.239093542099
GRU,adam,0.001,,selu,0.2,True,128,0.8574554324150085,0.7680712938308716,0.24243085086345673,0.7882617712020874,16,44.66447353363037
GRU,adam,0.001,,selu,0.2,True,256,0.8464343547821045,0.7372771501541138,0.2656846344470978,0.8086968660354614,13,40.217517375946045
GRU,adam,0.001,,selu,0.3333,True,64,0.7746758460998535,0.7123176455497742,0.4459865689277649,0.7543143033981323,11,31.968175172805786
GRU,adam,0.001,,selu,0.3333,True,128,0.8225283622741699,0.7179902791976929,0.31398075819015503,0.7913386821746826,15,41.84408235549927
GRU,adam,0.001,,selu,0.3333,True,256,0.8017828464508057,0.7512155771255493,0.37326115369796753,0.6616142988204956,12,38.081827878952026
GRU,adamw,0.001,,relu,0.2,True,64,0.7820502519607544,0.7604538202285767,0.4265120029449463,0.6460278034210205,9,27.81360387802124
