rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
BiGRU,adam,0.001,,tanh,0.3333,True,64,0.7904781103134155,0.7709886431694031,0.4307747483253479,0.6093523502349854,10,38.02879142761231
BiGRU,adamw,0.001,,tanh,0.2,True,256,0.8478119969367981,0.769692063331604,0.2759469151496887,0.6661182641983032,12,49.6777937412262
BiGRU,adamw,0.001,,selu,0.2,True,128,0.8439627289772034,0.7680712938308716,0.2792034447193146,0.7126868367195129,13,49.423048973083496
BiGRU,adam,0.001,,tanh,0.2,True,256,0.8515802025794983,0.767747163772583,0.2818683981895447,0.6640325784683228,13,52.65958786010742
BiGRU,adamw,0.001,,selu,0.3333,True,64,0.8025527000427246,0.7649918794631958,0.3686435222625732,0.6624706387519836,13,46.51011395454407
BiGRU,adam,0.001,,relu,0.2,True,64,0.8390194773674011,0.7589951157569885,0.2727983295917511,0.713423490524292,15,51.65145897865296
BiGRU,adamw,0.001,,selu,0.2,True,64,0.807131290435791,0.7586709856987,0.3662280738353729,0.6487751603126526,9,37.75087213516235
BiGRU,adam,0.001,,relu,0.2,True,256,0.7860615849494934,0.7583468556404114,0.4408062696456909,0.6442873477935791,8,38.32817363739014
BiGRU,adam,0.001,,tanh,0.2,True,64,0.8257293105125427,0.7572123408317566,0.3256937265396118,0.6585453748703003,10,39.7019829750061
BiGRU,adamw,0.001,,tanh,0.3333,True,64,0.815032422542572,0.7557536363601685,0.3400766551494598,0.6825973987579346,16,52.59554123878479
BiGRU,sgd,0.001,0.95,relu,0.2,True,128,0.7797001600265503,0.7555915713310242,0.4485353231430053,0.6129347681999207,13,45.74932503700256
BiGRU,adamw,0.001,,relu,0.2,True,256,0.8188411593437195,0.7521880269050598,0.3482771515846252,0.6852604150772095,11,47.30367183685303
BiGRU,adamw,0.001,,selu,0.3333,True,128,0.7962722778320312,0.751053512096405,0.4039989709854126,0.6732826828956604,10,40.816022872924805
