rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
BiGRU,sgd,0.001,0.95,relu,0.2,True,64,0.7681928873062134,0.7251215577125549,0.4607761800289154,0.7110186219215393,16,49.41498398780823
BiGRU,sgd,0.001,0.95,relu,0.2,True,128,0.7797001600265503,0.7555915713310242,0.44853532314300537,0.6129347681999207,13,45.74932503700256
BiGRU,sgd,0.001,0.95,relu,0.2,True,256,0.7657617330551147,0.7008103728294373,0.4959832429885864,0.7477606534957886,10,42.97872972488403
BiGRU,sgd,0.001,0.95,relu,0.3333,True,64,0.751053512096405,0.7338736057281494,0.5188667178153992,0.6675673723220825,20,59.52296853065491
BiGRU,sgd,0.001,0.95,relu,0.3333,True,128,0.7644651532173157,0.6964343786239624,0.4559114873409271,0.733910858631134,21,65.88122296333313
BiGRU,sgd,0.001,0.95,relu,0.3333,True,256,0.7536466717720032,0.7270664572715759,0.5228895545005798,0.6778183579444885,15,57.41873383522034
BiGRU,sgd,0.001,0.95,tanh,0.2,True,64,0.7789303064346313,0.705834686756134,0.43624347448349,0.7600268721580505,17,54.086021423339844
BiGRU,sgd,0.001,0.95,tanh,0.2,True,128,0.8123582005500793,0.745218813419342,0.33517971634864807,0.6612465977668762,21,65.24321627616882
BiGRU,sgd,0.001,0.95,tanh,0.2,True,256,0.7623581886291504,0.7426255941390991,0.5238445401191711,0.6495627760887146,11,46.43261384963989
BiGRU,sgd,0.001,0.95,tanh,0.3333,True,64,0.7472852468490601,0.7231766581535339,0.5684061646461487,0.6730984449386597,17,53.561248779296875
BiGRU,sgd,0.001,0.95,tanh,0.3333,True,128,0.7509724497795105,0.7257698774337769,0.564967691898346,0.6705490946769714,15,51.39203357696533
BiGRU,sgd,0.001,0.95,tanh,0.3333,True,256,0.7866693735122681,0.7275526523590088,0.41013938188552856,0.7003638744354248,24,81.53790283203125
BiGRU,sgd,0.001,0.95,selu,0.2,True,64,0.7635332345962524,0.6495948433876038,0.5020508170127869,0.8704516291618347,14,45.996740102767944
BiGRU,sgd,0.001,0.95,selu,0.2,True,128,0.7778767943382263,0.6627228260040283,0.43586021661758423,0.8519022464752197,15,50.36072778701782
BiGRU,sgd,0.001,0.95,selu,0.2,True,256,0.7949351668357849,0.6821718215942383,0.38783878087997437,0.8139001131057739,16,59.12051296234131
BiGRU,sgd,0.001,0.95,selu,0.3333,True,64,0.7314019203186035,0.747163712978363,0.6514853835105896,0.6191758513450623,13,43.30789017677307
BiGRU,sgd,0.001,0.95,selu,0.3333,True,128,0.7535656690597534,0.704538106918335,0.5240435600280762,0.7475975155830383,18,59.01641893386841
BiGRU,sgd,0.001,0.95,selu,0.3333,True,256,0.7613857388496399,0.7139384150505066,0.4951447546482086,0.7336368560791016,18,66.42366671562195
