rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
BiGRU,sgd,0.001,0.95,relu,0.2,True,64,0.7681928873062134,0.7251215577125549,0.4607761800289154,0.7110186219215393,16,49.41498398780823
BiGRU,sgd,0.001,0.95,relu,0.2,True,128,0.7797001600265503,0.7555915713310242,0.44853532314300537,0.6129347681999207,13,45.74932503700256
BiGRU,sgd,0.001,0.95,relu,0.2,True,256,0.7657617330551147,0.7008103728294373,0.4959832429885864,0.7477606534957886,10,42.97872972488403
BiGRU,sgd,0.001,0.95,relu,0.3333,True,64,0.751053512096405,0.7338736057281494,0.5188667178153992,0.6675673723220825,20,59.52296853065491
BiGRU,sgd,0.001,0.95,relu,0.3333,True,128,0.7644651532173157,0.6964343786239624,0.4559114873409271,0.733910858631134,21,65.88122296333313
BiGRU,sgd,0.001,0.95,relu,0.3333,True,256,0.7536466717720032,0.7270664572715759,0.5228895545005798,0.6778183579444885,15,57.41873383522034
BiGRU,sgd,0.001,0.95,tanh,0.2,True,64,0.7789303064346313,0.705834686756134,0.43624347448349,0.7600268721580505,17,54.086021423339844
BiGRU,sgd,0.001,0.95,tanh,0.2,True,128,0.8123582005500793,0.745218813419342,0.33517971634864807,0.6612465977668762,21,65.24321627616882
BiGRU,sgd,0.001,0.95,tanh,0.2,True,256,0.7623581886291504,0.7426255941390991,0.5238445401191711,0.6495627760887146,11,46.43261384963989
BiGRU,sgd,0.001,0.95,tanh,0.3333,True,64,0.7472852468490601,0.7231766581535339,0.5684061646461487,0.6730984449386597,17,53.561248779296875
