rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
LSTM,adam,0.001,,relu,0.2,True,64,0.7742301225662231,0.720583438873291,0.47656235098838806,0.7324926853179932,8,20.29206347465515
LSTM,adam,0.001,,relu,0.2,True,128,0.7673419713973999,0.6706644892692566,0.49701258540153503,0.7949148416519165,7,19.887099504470825
LSTM,adam,0.001,,relu,0.2,True,256,0.821880042552948,0.7445704936981201,0.32591181993484497,0.6833528280258179,11,27.222353219985962
LSTM,adam,0.001,,relu,0.3333,True,64,0.7838735580444336,0.7320907711982727,0.4224630296230316,0.6905584335327148,13,26.905284881591797
LSTM,adam,0.001,,relu,0.3333,True,128,0.7844813466072083,0.751053512096405,0.41386735439300537,0.6649174094200134,12,25.743489980697632
LSTM,adam,0.001,,relu,0.3333,True,256,0.807131290435791,0.7586709856987,0.35680827498435974,0.6947056651115417,14,32.10259461402893
LSTM,adam,0.001,,tanh,0.2,True,64,0.8245543241500854,0.7363047003746033,0.3207676112651825,0.7765094041824341,15,29.367504358291626
LSTM,adam,0.001,,tanh,0.2,True,128,0.8123176693916321,0.7470016479492188,0.3534972667694092,0.6857409477233887,11,25.11116623878479
LSTM,adam,0.001,,tanh,0.2,True,256,0.8378444314002991,0.7494327425956726,0.2972754240036011,0.7163282036781311,12,28.657362937927246
LSTM,adam,0.001,,tanh,0.3333,True,64,0.8034035563468933,0.7414910793304443,0.36869338154792786,0.7135100960731506,17,32.572232246398926
LSTM,adam,0.001,,tanh,0.3333,True,128,0.7894651293754578,0.7495948076248169,0.4291069805622101,0.6566293239593506,11,24.682294130325317
LSTM,adam,0.001,,tanh,0.3333,True,256,0.803889811038971,0.759967565536499,0.39295002818107605,0.6699658632278442,11,26.69721508026123
LSTM,adam,0.001,,selu,0.2,True,64,0.8070907592773438,0.7450567483901978,0.3493674397468567,0.7509860396385193,13,27.42201828956604
LSTM,adam,0.001,,selu,0.2,True,128,0.8335899710655212,0.7565640211105347,0.30203887820243835,0.7244420647621155,12,26.43457579612732
LSTM,adam,0.001,,selu,0.2,True,256,0.820867121219635,0.7482982277870178,0.34123727679252625,0.7183643579483032,10,26.0043363571167
LSTM,adam,0.001,,selu,0.3333,True,64,0.7942058444023132,0.6883306503295898,0.39944010972976685,0.7731380462646484,13,26.957298755645752
LSTM,adam,0.001,,selu,0.3333,True,128,0.7779173254966736,0.7269043922424316,0.4876304864883423,0.6723309755325317,9,22.38500452041626
LSTM,adam,0.001,,selu,0.3333,True,256,0.8077390789985657,0.7564019560813904,0.37564533948898315,0.6755402088165283,12,28.422653198242188
LSTM,adamw,0.001,,relu,0.2,True,64,0.7989059686660767,0.7536466717720032,0.37430015206336975,0.6869857907295227,11,25.34622049331665
LSTM,adamw,0.001,,relu,0.2,True,128,0.8186385631561279,0.7179902791976929,0.3249187171459198,0.8414074182510376,12,26.629215955734253
LSTM,adamw,0.001,,relu,0.2,True,256,0.8430308103561401,0.7366288304328918,0.26630446314811707,0.7662456035614014,13,31.385021686553955
LSTM,adamw,0.001,,relu,0.3333,True,64,0.7566855549812317,0.7390599846839905,0.5039837956428528,0.6407832503318787,10,22.66939425468445
LSTM,adamw,0.001,,relu,0.3333,True,128,0.8131685853004456,0.7521880269050598,0.327101469039917,0.7245774269104004,16,32.995492458343506
LSTM,adamw,0.001,,relu,0.3333,True,256,0.7847244739532471,0.7564019560813904,0.44022223353385925,0.6612342000007629,10,25.508972883224487
LSTM,adamw,0.001,,tanh,0.2,True,64,0.7942463755607605,0.7479740977287292,0.40648403763771057,0.6768438220024109,9,21.79323124885559
LSTM,adamw,0.001,,tanh,0.2,True,128,0.8092382550239563,0.7581847906112671,0.38248491287231445,0.6775975227355957,9,22.140020608901978
LSTM,adamw,0.001,,tanh,0.2,True,256,0.8284440636634827,0.7320907711982727,0.3351338505744934,0.7284822463989258,10,31.916935205459595
LSTM,adamw,0.001,,tanh,0.3333,True,64,0.7776337265968323,0.7526742219924927,0.4552825391292572,0.6261054277420044,11,32.47063851356506
LSTM,adamw,0.001,,tanh,0.3333,True,128,0.796231746673584,0.7327390313148499,0.39455270767211914,0.6935487389564514,12,35.16596698760986
LSTM,adamw,0.001,,tanh,0.3333,True,256,0.81709885597229,0.7620745301246643,0.33825790882110596,0.6731825470924377,13,40.56586933135986
LSTM,adamw,0.001,,selu,0.2,True,64,0.8026337027549744,0.7585089206695557,0.38666409254074097,0.6736199259757996,11,29.627933263778687
LSTM,adamw,0.001,,selu,0.2,True,128,0.7912479639053345,0.7233387231826782,0.4266744554042816,0.711476743221283,8,25.1652729511261
LSTM,adamw,0.001,,selu,0.2,True,256,0.8361021280288696,0.7742301225662231,0.30854180455207825,0.763390302658081,11,35.606401681900024
LSTM,adamw,0.001,,selu,0.3333,True,64,0.7574149370193481,0.7209076285362244,0.530663251876831,0.6798538565635681,9,27.045668125152588
LSTM,adamw,0.001,,selu,0.3333,True,128,0.7984603047370911,0.7340356707572937,0.3907018303871155,0.7395384907722473,12,33.7609076499939
LSTM,adamw,0.001,,selu,0.3333,True,256,0.7700567245483398,0.7085899710655212,0.47893041372299194,0.7292659282684326,8,28.987311840057373
LSTM,sgd,0.001,0.95,relu,0.2,True,64,0.7666531801223755,0.6956239938735962,0.4779950976371765,0.8066723346710205,18,40.48395919799805
LSTM,sgd,0.001,0.95,relu,0.2,True,128,0.7415316104888916,0.6815235018730164,0.5829666256904602,0.8261550068855286,12,30.8672776222229
LSTM,sgd,0.001,0.95,relu,0.2,True,256,0.7841977477073669,0.7385737299919128,0.4040183424949646,0.7190552949905396,18,46.89367151260376
LSTM,sgd,0.001,0.95,relu,0.3333,True,64,0.722285270690918,0.7082657814025879,0.6833273768424988,0.6920872330665588,12,30.944023370742798
LSTM,sgd,0.001,0.95,relu,0.3333,True,128,0.7241491079330444,0.7228525280952454,0.6625677943229675,0.7243562340736389,13,32.2577908039093
LSTM,sgd,0.001,0.95,relu,0.3333,True,256,0.7476904392242432,0.7106969356536865,0.5625684261322021,0.7164771556854248,18,47.68014121055603
LSTM,sgd,0.001,0.95,tanh,0.2,True,64,0.7329416275024414,0.7210696935653687,0.6478844285011292,0.6696113348007202,10,30.61117148399353
LSTM,sgd,0.001,0.95,tanh,0.2,True,128,0.7841572165489197,0.7570502161979675,0.4183133840560913,0.6569672226905823,20,49.82995963096619
LSTM,sgd,0.001,0.95,tanh,0.2,True,256,0.7365072965621948,0.7256077527999878,0.6265373229980469,0.6665957570075989,10,30.794997215270996
LSTM,sgd,0.001,0.95,tanh,0.3333,True,64,0.7711507081985474,0.741977334022522,0.45689159631729126,0.6665517687797546,27,68.88046407699585
LSTM,sgd,0.001,0.95,tanh,0.3333,True,128,0.7794975638389587,0.736142635345459,0.4342728853225708,0.6757341027259827,28,68.76349210739136
LSTM,sgd,0.001,0.95,tanh,0.3333,True,256,0.7329416275024414,0.7474878430366516,0.6430040001869202,0.6286405324935913,13,40.926687479019165
LSTM,sgd,0.001,0.95,selu,0.2,True,64,0.7434359788894653,0.7168557643890381,0.6049842834472656,0.716882050037384,13,39.45163369178772
LSTM,sgd,0.001,0.95,selu,0.2,True,128,0.7470826506614685,0.7191247940063477,0.5648031830787659,0.7238519191741943,12,39.07192778587341
