rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
LSTM,adam,0.001,,relu,0.2,True,64,0.9053484797477722,0.7568881511688232,0.2365031838417053,0.8840524554252625,28,43.12082767486572
LSTM,adam,0.001,,relu,0.2,True,128,0.8888168334960938,0.76191246509552,0.280178815126419,0.78908371925354,18,32.13132381439209
LSTM,adam,0.001,,relu,0.2,True,256,0.9096434116363524,0.7541329264640808,0.2302286475896835,0.8729305267333984,19,33.50515604019165
LSTM,adam,0.001,,relu,0.3333,True,64,0.8319692015647888,0.7570502161979675,0.4036387205123901,0.6744339466094971,19,33.026116609573364
LSTM,adam,0.001,,relu,0.3333,True,128,0.8722041845321655,0.7615883350372314,0.311073899269104,0.7442599534988403,24,40.10149693489075
LSTM,adam,0.001,,relu,0.3333,True,256,0.8182739019393921,0.7486223578453064,0.4344526827335357,0.6323596835136414,12,22.75490117073059
LSTM,adam,0.001,,tanh,0.2,True,64,0.8866288661956787,0.756077766418457,0.2854028642177582,0.794089674949646,21,36.822270154953
LSTM,adam,0.001,,tanh,0.2,True,128,0.9340356588363647,0.7572123408317566,0.1739666759967804,0.9586629867553712,30,47.88746500015259
LSTM,adam,0.001,,tanh,0.2,True,256,0.9393031001091005,0.7583468556404114,0.1604782789945602,0.9526248574256896,29,47.42640042304993
LSTM,adam,0.001,,tanh,0.3333,True,64,0.8525121808052063,0.7635332345962524,0.3673532009124756,0.6956629157066345,23,38.99013376235962
LSTM,adam,0.001,,tanh,0.3333,True,128,0.8609400391578674,0.7614262700080872,0.3392563164234161,0.7226969003677368,21,36.69791626930237
LSTM,adam,0.001,,tanh,0.3333,True,256,0.8861426115036011,0.7581847906112671,0.2859615683555603,0.7600544691085815,24,39.8719220161438
LSTM,adam,0.001,,selu,0.2,True,64,0.8852512240409851,0.7583468556404114,0.2782855629920959,0.8044753074645996,21,36.1650550365448
LSTM,adam,0.001,,selu,0.2,True,128,0.9076175093650818,0.7466774582862854,0.2322176396846771,0.8912268280982971,22,37.59453558921814
LSTM,adam,0.001,,selu,0.2,True,256,0.9157212376594543,0.7607779502868652,0.2129434049129486,0.933672308921814,22,37.4186749458313
LSTM,adam,0.001,,selu,0.3333,True,64,0.8555915951728821,0.7604538202285767,0.3519805073738098,0.7097463011741638,25,40.599639654159546
LSTM,adam,0.001,,selu,0.3333,True,128,0.8474878668785095,0.7601296305656433,0.3754812777042389,0.6998584866523743,17,30.447628021240234
LSTM,adam,0.001,,selu,0.3333,True,256,0.8549027442932129,0.7602917551994324,0.3552883565425873,0.7194156050682068,17,30.268133401870728
LSTM,adamw,0.001,0.95,relu,0.2,True,64,0.8826985359191895,0.7575364708900452,0.2889271378517151,0.7747308015823364,21,36.133246421813965
LSTM,adamw,0.001,0.95,relu,0.2,True,128,0.9123581647872924,0.7533225417137146,0.2207803577184677,0.9310827255249025,24,40.99208760261536
LSTM,adamw,0.001,0.95,relu,0.2,True,256,0.8941653370857239,0.7591572403907776,0.2629655599594116,0.8232853412628174,17,30.878223657608032
LSTM,adamw,0.001,0.95,relu,0.3333,True,64,0.8188411593437195,0.7609400153160095,0.4343242347240448,0.6315969228744507,15,27.575616121292114
LSTM,adamw,0.001,0.95,relu,0.3333,True,128,0.8798622488975525,0.763857364654541,0.2956004738807678,0.7726051211357117,26,42.835211753845215
LSTM,adamw,0.001,0.95,relu,0.3333,True,256,0.909440815448761,0.765802264213562,0.2288621366024017,0.8782527446746826,32,50.63132762908936
LSTM,adamw,0.001,0.95,tanh,0.2,True,64,0.8701377511024475,0.7500810623168945,0.3174146115779876,0.7719820737838745,19,33.78353524208069
LSTM,adamw,0.001,0.95,tanh,0.2,True,128,0.8940032124519348,0.7544570565223694,0.2690471708774566,0.7618464231491089,18,33.06640982627869
LSTM,adamw,0.001,0.95,tanh,0.2,True,256,0.8734602928161621,0.7513776421546936,0.315212994813919,0.728996992111206,14,26.953144311904907
LSTM,adamw,0.001,0.95,tanh,0.3333,True,64,0.8839951157569885,0.7632091045379639,0.2918186485767364,0.772852897644043,35,55.57263779640198
LSTM,adamw,0.001,0.95,tanh,0.3333,True,128,0.8191652894020081,0.7546191215515137,0.4403471350669861,0.6463742852210999,13,26.18415927886963
LSTM,adamw,0.001,0.95,tanh,0.3333,True,256,0.8431523442268372,0.7534846067428589,0.3835218548774719,0.6800837516784668,15,28.5319139957428
LSTM,adamw,0.001,0.95,selu,0.2,True,64,0.8952187895774841,0.7589951157569885,0.2663258910179138,0.8475630879402161,24,39.92106628417969
LSTM,adamw,0.001,0.95,selu,0.2,True,128,0.8854943513870239,0.7602917551994324,0.285157561302185,0.8044266104698181,16,28.93712091445923
LSTM,adamw,0.001,0.95,selu,0.2,True,256,0.9214343428611756,0.7611020803451538,0.1978401243686676,0.957917332649231,23,38.5917866230011
LSTM,adamw,0.001,0.95,selu,0.3333,True,64,0.8530389070510864,0.7549432516098022,0.362814337015152,0.7588348984718323,22,36.99504613876343
LSTM,adamw,0.001,0.95,selu,0.3333,True,128,0.8338735699653625,0.751053512096405,0.402942419052124,0.6506292819976807,15,27.767163276672363
LSTM,adamw,0.001,0.95,selu,0.3333,True,256,0.8967179656028748,0.7573744058609009,0.2531693577766418,0.8553085923194885,25,41.631932497024536
LSTM,sgd,0.001,0.95,relu,0.2,True,64,0.8549027442932129,0.7497568726539612,0.3568431138992309,0.7026296854019165,37,51.36757397651672
LSTM,sgd,0.001,0.95,relu,0.2,True,128,0.8562803864479065,0.7461912631988525,0.3626042604446411,0.675790011882782,27,40.39816737174988
LSTM,sgd,0.001,0.95,relu,0.2,True,256,0.8338735699653625,0.756077766418457,0.4165413379669189,0.6279554963111877,17,27.14662313461304
LSTM,sgd,0.001,0.95,relu,0.3333,True,64,0.821758508682251,0.7557536363601685,0.4250548779964447,0.6402413249015808,46,60.71636152267456
LSTM,sgd,0.001,0.95,relu,0.3333,True,128,0.7766207456588745,0.7340356707572937,0.5344582200050354,0.6527060866355896,18,28.55452799797058
LSTM,sgd,0.001,0.95,relu,0.3333,True,256,0.8026742339134216,0.7565640211105347,0.4812027513980865,0.6043341159820557,20,34.79574394226074
LSTM,sgd,0.001,0.95,tanh,0.2,True,64,0.8571717739105225,0.758022665977478,0.3586561977863312,0.6661527752876282,40,65.57145261764526
LSTM,sgd,0.001,0.95,tanh,0.2,True,128,0.8626418113708496,0.7478119730949402,0.3464591801166534,0.6694509387016296,31,51.53468632698059
LSTM,sgd,0.001,0.95,tanh,0.2,True,256,0.8833468556404114,0.7648298144340515,0.3037189245223999,0.6758967638015747,31,52.25316572189331
LSTM,sgd,0.001,0.95,tanh,0.3333,True,64,0.8215559124946594,0.7646677494049072,0.4350134432315826,0.6318901181221008,43,70.27163195610046
LSTM,sgd,0.001,0.95,tanh,0.3333,True,128,0.8401944637298584,0.765802264213562,0.3995718955993652,0.6437940001487732,38,63.06275939941406
LSTM,sgd,0.001,0.95,tanh,0.3333,True,256,0.7963128089904785,0.7512155771255493,0.5000538229942322,0.6214800477027893,20,34.175883531570435
LSTM,sgd,0.001,0.95,selu,0.2,True,64,0.836790919303894,0.7601296305656433,0.4102861881256103,0.6632643342018127,32,52.988415479660034
LSTM,sgd,0.001,0.95,selu,0.2,True,128,0.81385737657547,0.7525121569633484,0.4513993859291076,0.6642817258834839,20,34.51645231246948
LSTM,sgd,0.001,0.95,selu,0.2,True,256,0.9220016002655028,0.7564019560813904,0.1987811923027038,0.8449958562850952,46,76.27258157730103
LSTM,sgd,0.001,0.95,selu,0.3333,True,64,0.7996758222579956,0.7388979196548462,0.483614444732666,0.6584120392799377,31,51.3739492893219
LSTM,sgd,0.001,0.95,selu,0.3333,True,128,0.8458670973777771,0.7674230337142944,0.3837829828262329,0.6576189398765564,43,70.96239614486694
LSTM,sgd,0.001,0.95,selu,0.3333,True,256,0.8345624208450317,0.7604538202285767,0.4002507925033569,0.6375932693481445,34,55.40536189079285
GRU,adam,0.001,,relu,0.2,True,64,0.8365073204040527,0.758022665977478,0.3957053422927856,0.6417312622070312,12,24.705710887908936
GRU,adam,0.001,,relu,0.2,True,128,0.9207455515861512,0.7546191215515137,0.1997725367546081,0.9452535510063172,26,48.15386056900024
GRU,adam,0.001,,relu,0.2,True,256,0.9313209056854248,0.7607779502868652,0.1830320060253143,1.000037670135498,23,42.56325149536133
GRU,adam,0.001,,relu,0.3333,True,64,0.867220401763916,0.7601296305656433,0.3256941437721252,0.736096978187561,28,50.41510272026062
GRU,adam,0.001,,relu,0.3333,True,128,0.9274311065673828,0.7669367790222168,0.1850406676530838,0.9864131808280944,50,85.84342837333679
GRU,adam,0.001,,relu,0.3333,True,256,0.8963128328323364,0.7661263942718506,0.2588179409503937,0.8541266322135925,27,48.994109869003296
GRU,adam,0.001,,tanh,0.2,True,64,0.9025526642799376,0.7552674412727356,0.2481801211833953,0.8427785634994507,26,47.63356399536133
GRU,adam,0.001,,tanh,0.2,True,128,0.9178282022476196,0.7448946237564087,0.2128595858812332,0.8848603367805481,24,42.67718601226807
GRU,adam,0.001,,tanh,0.2,True,256,0.9426255822181702,0.7554295063018799,0.1512074023485183,0.9936285018920898,33,58.0817711353302
GRU,adam,0.001,,tanh,0.3333,True,64,0.8057536482810974,0.7487844228744507,0.4681837558746338,0.6363649368286133,13,25.98333954811096
GRU,adam,0.001,,tanh,0.3333,True,128,0.8470421433448792,0.756077766418457,0.376359224319458,0.6753144264221191,17,32.218634366989136
GRU,adam,0.001,,tanh,0.3333,True,256,0.9026742577552797,0.7609400153160095,0.2517480254173279,0.7795936465263367,28,50.037765979766846
GRU,adam,0.001,,selu,0.2,True,64,0.8880469799041748,0.7557536363601685,0.2826090157032013,0.7574522495269775,21,38.14472246170044
GRU,adam,0.001,,selu,0.2,True,128,0.8499189615249634,0.7435980439186096,0.3649298846721649,0.7206445336341858,12,23.274255990982056
GRU,adam,0.001,,selu,0.2,True,256,0.9115073084831238,0.7596434354782104,0.2276137024164199,0.8732407093048096,18,33.377220153808594
GRU,adam,0.001,,selu,0.3333,True,64,0.8891814947128296,0.7611020803451538,0.2787206172943115,0.8010744452476501,37,63.47178077697754
GRU,adam,0.001,,selu,0.3333,True,128,0.8673014640808105,0.7601296305656433,0.3296124041080475,0.7258706092834473,20,35.31845426559448
GRU,adam,0.001,,selu,0.3333,True,256,0.9061588048934937,0.7630469799041748,0.2328852415084839,0.8636299967765808,28,48.1797251701355
GRU,adamw,0.001,0.95,relu,0.2,True,64,0.8613452315330505,0.7463533282279968,0.3362654447555542,0.7238697409629822,17,30.4074776172638
GRU,adamw,0.001,0.95,relu,0.2,True,128,0.891855776309967,0.7588330507278442,0.2676006853580475,0.7812333106994629,19,33.80327749252319
GRU,adamw,0.001,0.95,relu,0.2,True,256,0.892747163772583,0.7551053762435913,0.2646813690662384,0.7901853919029236,16,26.72104358673096
GRU,adamw,0.001,0.95,relu,0.3333,True,64,0.8472447395324707,0.7541329264640808,0.3642295897006988,0.6697733402252197,23,37.051883697509766
GRU,adamw,0.001,0.95,relu,0.3333,True,128,0.8785656690597534,0.7575364708900452,0.2996673285961151,0.7616115808486938,26,43.64961075782776
GRU,adamw,0.001,0.95,relu,0.3333,True,256,0.8468800783157349,0.765802264213562,0.3719100654125213,0.6428474187850952,15,26.454060792922974
GRU,adamw,0.001,0.95,tanh,0.2,True,64,0.8299027681350708,0.7481361627578735,0.4208137691020965,0.6583467125892639,11,19.285473823547363
GRU,adamw,0.001,0.95,tanh,0.2,True,128,0.8646677732467651,0.7486223578453064,0.3373776972293854,0.6957458853721619,13,22.455093383789062
GRU,adamw,0.001,0.95,tanh,0.2,True,256,0.8712722659111023,0.7585089206695557,0.3267828524112701,0.7348977327346802,13,22.846593141555783
GRU,adamw,0.001,0.95,tanh,0.3333,True,64,0.8523500561714172,0.7572123408317566,0.3683333396911621,0.6877466440200806,23,35.9407651424408
GRU,adamw,0.001,0.95,tanh,0.3333,True,128,0.8587114810943604,0.7636952996253967,0.3490806221961975,0.7136585116386414,20,31.757100820541385
GRU,adamw,0.001,0.95,tanh,0.3333,True,256,0.8875607848167419,0.7641814947128296,0.2839898467063904,0.7460142970085144,24,35.36707067489624
GRU,adamw,0.001,0.95,selu,0.2,True,64,0.850526750087738,0.7555915713310242,0.3677690327167511,0.692200779914856,14,20.51242733001709
GRU,adamw,0.001,0.95,selu,0.2,True,128,0.9173824787139891,0.7593193054199219,0.2075934261083603,0.9255685806274414,23,34.31537652015686
GRU,adamw,0.001,0.95,selu,0.2,True,256,0.8405186533927917,0.7479740977287292,0.3884090483188629,0.7071542143821716,10,15.59563159942627
GRU,adamw,0.001,0.95,selu,0.3333,True,64,0.8604537844657898,0.7682333588600159,0.3382412493228912,0.7501808404922485,25,35.13334822654724
GRU,adamw,0.001,0.95,selu,0.3333,True,128,0.8629254698753357,0.7654781341552734,0.3372046053409576,0.6982781887054443,20,30.76554822921753
GRU,adamw,0.001,0.95,selu,0.3333,True,256,0.8572123050689697,0.7625607848167419,0.3497911989688873,0.6879173517227173,17,22.80441379547119
GRU,sgd,0.001,0.95,relu,0.2,True,64,0.8067260980606079,0.7507293224334717,0.4745264053344726,0.6253580451011658,23,35.80535960197449
GRU,sgd,0.001,0.95,relu,0.2,True,128,0.837560772895813,0.7523500919342041,0.4040386974811554,0.6256271600723267,25,38.39227890968323
GRU,sgd,0.001,0.95,relu,0.2,True,256,0.861264169216156,0.754781186580658,0.3486696183681488,0.6474138498306274,25,38.17276167869568
GRU,sgd,0.001,0.95,relu,0.3333,True,64,0.7642220258712769,0.7468395233154297,0.5594432353973389,0.6071886420249939,19,30.39347791671753
GRU,sgd,0.001,0.95,relu,0.3333,True,128,0.8054699897766113,0.7539708018302917,0.476181298494339,0.6167836785316467,28,41.65332317352295
GRU,sgd,0.001,0.95,relu,0.3333,True,256,0.8226904273033142,0.7575364708900452,0.4356745183467865,0.6267206072807312,30,44.55395746231079
GRU,sgd,0.001,0.95,tanh,0.2,True,64,0.8153970837593079,0.7601296305656433,0.45506751537323,0.611422598361969,27,40.49993848800659
GRU,sgd,0.001,0.95,tanh,0.2,True,128,0.8383306264877319,0.7623987197875977,0.4046549201011657,0.6121670007705688,27,40.663330078125
GRU,sgd,0.001,0.95,tanh,0.2,True,256,0.8840761780738831,0.759967565536499,0.3065814971923828,0.6971246600151062,34,49.59252333641052
GRU,sgd,0.001,0.95,tanh,0.3333,True,64,0.7965964078903198,0.7598055005073547,0.497493028640747,0.6108721494674683,33,47.86734008789063
GRU,sgd,0.001,0.95,tanh,0.3333,True,128,0.8442868590354919,0.7675850987434387,0.3830600380897522,0.6327340602874756,50,66.34946417808533
GRU,sgd,0.001,0.95,tanh,0.3333,True,256,0.8191652894020081,0.7614262700080872,0.4434612393379211,0.6144500970840454,33,47.39670252799988
GRU,sgd,0.001,0.95,selu,0.2,True,64,0.8266207575798035,0.7478119730949402,0.4296710789203644,0.6656399369239807,32,46.20175051689148
GRU,sgd,0.001,0.95,selu,0.2,True,128,0.8450567126274109,0.7573744058609009,0.3856353759765625,0.6467044353485107,31,43.42603254318237
GRU,sgd,0.001,0.95,selu,0.2,True,256,0.8141815066337585,0.7497568726539612,0.4531974196434021,0.6266593933105469,19,30.529873609542847
GRU,sgd,0.001,0.95,selu,0.3333,True,64,0.7767422795295715,0.7497568726539612,0.5386471748352051,0.6101933121681213,24,35.881375551223755
GRU,sgd,0.001,0.95,selu,0.3333,True,128,0.7906807065010071,0.7549432516098022,0.5034095048904419,0.6139152646064758,26,38.968003273010254
GRU,sgd,0.001,0.95,selu,0.3333,True,256,0.811021089553833,0.7546191215515137,0.4690544307231903,0.606469452381134,28,41.728718519210815
BiLSTM,adam,0.001,,relu,0.2,True,64,0.9012560844421388,0.756726086139679,0.2469674944877624,0.8185759782791138,21,38.535727739334106
